Time	Me-P1	Me-P2	Me-P0
-345600	0	0	0
-344908.8	0	0	8.61995618157769
-344217.6	0	0	36.0371306533547
-343526.4	0	0	82.9287624719162
-342835.2	0	0	148.560205730243
-342144	0	0	231.786717858483
-341452.8	0	0	331.440284814615
-340761.6	0	0	446.41507911806
-340070.4	0	0	575.67822602104
-339379.2	0	0	718.266002497939
-338688	0	0	873.280441103702
-337996.8	0	0	1039.88335648136
-337305.6	0	0	1217.29347140239
-336614.4	0	0	1404.78100563442
-335923.2	0	0	1601.66582577199
-335232	0	0	1807.31244886303
-334540.8	0	0	2021.12848561167
-333849.6	0	0	2242.56063580058
-333158.4	0	0	2471.09283903867
-332467.2	0	0	2706.24358739697
-331776	0	0	2947.56306604492
-331084.8	0	0	3194.63205510812
-330393.6	0	0	3447.05888129979
-329702.4	0	0	3704.47835577387
-329011.2	0	0	3966.54961973243
-328320	0	0	4232.95447251691
-327628.8	0	0	4503.39608443367
-326937.6	0	0	4777.59721879743
-326246.4	0	0	5055.2994651945
-325555.2	0	0	5336.26161882522
-324864	0	0	5620.25822079759
-324172.8	0	0	5907.0793089286
-323481.6	0	0	6196.52885683751
-322790.4	0	0	6488.42380142345
-322099.2	0	0	6782.59338500274
-321408	0	0	7078.87831662004
-320716.8	0	0	7377.12983650033
-320025.6	0	0	7677.20914096524
-319334.4	0	0	7978.98676005478
-318643.2	0	0	8282.3418438299
-317952	0	0	8587.16161075283
-317260.8	0	0	8893.3407526357
-316569.6	0	0	9200.78114740904
-315878.4	0	0	9509.39109103748
-315187.2	0	0	9819.08505647537
-314496	0	0	10129.7832525618
-313804.8	0	0	10441.4111988396
-313113.6	0	0	10753.8993876347
-312422.4	0	0	11067.1829667643
-311731.2	0	0	11381.2014194063
-311040	0	0	11695.8982791053
-310348.8	0	0	12011.2208403262
-309657.6	0	0	12327.119919926
-308966.4	0	0	12643.5496080091
-308275.2	0	0	12960.4671209503
-307584	0	0	13277.8324788715
-306892.8	0	0	13595.6083872481
-306201.6	0	0	13913.7600670627
-305510.4	0	0	14232.2550691085
-304819.2	0	0	14551.0630581175
-304128	0	0	14870.1557959986
-303436.8	0	0	15189.5068840407
-302745.6	0	0	15509.0917368841
-302054.4	0	0	15828.8873598023
-301363.2	0	0	16148.872341437
-300672	0	0	16469.0266824898
-299980.8	0	0	16789.3317416439
-299289.6	0	0	17109.7700893892
-298598.4	0	0	17430.3254971098
-297907.2	0	0	17750.9828161393
-297216	0	0	18071.7279008489
-296524.8	0	0	18392.547567516
-295833.6	0	0	18713.4295159219
-295142.4	0	0	19034.3622496796
-294451.2	0	0	19355.3350706393
-293760	0	0	19676.337982247
-293068.8	0	0	19997.3616592589
-292377.6	0	0	20318.3974260418
-291686.4	0	0	20639.4371525249
-290995.2	0	0	20960.4732651168
-290304	0	0	21281.4987268699
-289612.8	0	0	21602.5069357543
-288921.6	0	0	21923.4917536185
-288230.4	0	0	22244.4474721
-287539.2	0	0	22565.3687308359
-286848	0	0	22886.250573644
-286156.8	0	0	23207.0882942679
-285465.6	0	0	23527.8776340239
-284774.4	0	0	23848.6145102004
-284083.2	0	0	24169.295180752
-283392	0	0	24489.916123819
-282700.8	0	0	24810.4740457038
-282009.6	0	0	25130.9659269049
-281318.4	0	0	25451.3889060189
-280627.2	0	0	25771.7403994874
-279936	0	0	26092.0177505808
-279244.8	0	0	26412.2188226054
-278553.6	0	0	26732.3414365238
-277862.4	0	0	27052.3835711945
-277171.2	0	0	27372.3433799146
-276480	0	0	27692.2191280282
-275788.8	0	0	28012.009116394
-275097.6	0	0	28331.7120451787
-274406.4	0	0	28651.3263254883
-273715.2	0	0	28970.8507156452
-273024	0	0	29290.283994664
-272332.8	0	0	29609.6250309031
-271641.6	0	0	29928.872776641
-270950.4	0	0	30248.0262644828
-270259.2	0	0	30567.0845824592
-269568	0	0	30886.0468689625
-268876.8	0	0	31204.9123743305
-268185.6	0	0	31523.68032684
-267494.4	0	0	31842.3500722799
-266803.2	0	0	32160.9209768412
-266112	0	0	32479.3924637508
-265420.8	0	0	32797.7639705912
-264729.6	0	0	33116.0350146357
-264038.4	0	0	33434.2051111323
-263347.2	0	0	33752.2738552742
-262656	0	0	34070.2408183343
-261964.8	0	0	34388.105636662
-261273.6	0	0	34705.8680297611
-260582.4	0	0	35023.5275951159
-259891.2	0	0	35341.0840839801
-259200	0	0	35658.5372124659
-258508.8	0	0	35975.8867493088
-257817.6	0	0	36293.1324419802
